,BELGIUM,sys_par_name,sys_reserved,sys_first_sys,BE_2005,BE_2006,BE_2007,BE_2008,BE_2009,sys_end_sys,
,,sys_first_par,,,DEF: UPRATING FACTORS,,,,,
,,var2_condition2,85,,n/a,n/a,{lunmy>=7} & {lunmy<=12},{lunmy>=7} & {lunmy<=12},{lunmy>=7} & {lunmy<=12},
,,var2_factor2,86,,n/a,n/a,1,1.030258734,1.156439562,
,,xhcrt,87,,n/a,n/a,1,1.050721884,1.049582067,
,,khooo,89a,,n/a,n/a,1.4532,1.4796,1.5461,
,,amolv,94,,n/a,n/a,1,1,1,
,,xhcmomc,95,,n/a,n/a,1,1,1,
,,xhcmomi,96,,n/a,n/a,1,1,1,
,,byr,89,,n/a,n/a,1,1.030258734,1.080659388,
,,bma,90,,n/a,n/a,1,1.040443758,1.08052175,
,,afc,94i,,n/a,n/a,1,0.455081,0.686563,
,,bed,94h,,n/a,n/a,1,1.125811,1.180505,
,,bho,94g,,n/a,n/a,1,1.050721884,1.049582067,
,,xmp,94f,,n/a,n/a,1,1.050721884,1.049582067,
,,yds,94e,,n/a,n/a,1,1.123270035,1.08282165,
,,yivwg,94d,,n/a,n/a,1,1.027885,1.054808,
,,yot,94c,,n/a,n/a,1,1.050721884,1.049582067,
,,yprrt,94b,,n/a,n/a,1,1.050721884,1.049582067,
,,ypt,94a,,n/a,n/a,1,1.050721884,1.049582067,
,,bfapl,91,,n/a,n/a,1,1.040443758,1.08052175,
,,sys_end_par,,,,,,,,
