,BELGIUM,sys_par_name,sys_reserved,sys_first_sys,BE_2005,BE_2006,BE_2007,BE_2008,BE_2009,sys_end_sys,
,,sys_first_par,,,TAX: deduction professional expenses,,,,,
,,func_Elig,,,on,on,on,on,on,
,,elig_cond,,,{loc!=1},{loc!=1},{loc!=1},{loc!=1},{loc!=1},
,,TAX_UNIT,,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_SchedCalc,,,on,on,on,on,on,
,,who_must_be_elig,,,one,one,one,one,one,
,,Base_IL,,,il_netProfY,il_netProfY,il_netProfY,il_netProfY,il_netProfY,
,,band1_upLim,,,4660#y,4790#y,4880#y,4970#y,5190#y,
,,band1_rate,,,0.25,0.261,0.272,0.272,0.287,
,,band2_upLim,,,9270#y,9520#y,9690#y,9870#y,10310#y,
,,band2_rate,,,0.1,0.1,0.1,0.1,0.1,
,,band3_upLim,,,15420#y,15850#y,16140#y,16430#y,17170#y,
,,band3_rate,,,0.05,0.05,0.05,0.05,0.05,
,,band4_rate,,,0.03,0.03,0.03,0.03,0.03,
,,uplim_amount,,,3110#y,3230#y,3320#y,3380#y,3590#y,
,,output_var,,,tintace_s,tintace_s,tintace_s,tintace_s,tintace_s,
,,TAX_UNIT,,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_Elig,,,on,on,on,on,on,
,,elig_cond,,,{loc=1},{loc=1},{loc=1},{loc=1},{loc=1},
,,TAX_UNIT,,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_SchedCalc,,,on,on,on,on,on,
,,who_must_be_elig,,,one,one,one,one,one,
,,Base_IL,,,il_netprofY,il_netprofY,il_netprofY,il_netprofY,il_netprofY,
,,band1_rate,,,0.05,0.05,0.05,0.05,0.05,
,,uplim_amount,,,3110#y,3230#y,3320#y,3380#y,3590#y,
,,output_add_var,,,tintace_s,tintace_s,tintace_s,tintace_s,tintace_s,
,,TAX_UNIT,,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,sys_end_par,,,,,,,,
