,BELGIUM,sys_par_name,sys_reserved,sys_first_sys,BE_2005,BE_2006,BE_2007,BE_2008,BE_2009,sys_end_sys,
,,sys_first_par,,,SIC: employer social insurance contribution,,,,,
,,elig_cond,79,,{yem>0} & !{IsCivilServant} & {lfs>=amount#1},{yem>0} & !{IsCivilServant} & {lfs>=amount#1},{yem>0} & !{IsCivilServant} & {lfs>=amount#1},{yem>0} & !{IsCivilServant} & {lfs>=amount#1},{yem>0} & !{IsCivilServant} & {lfs>=amount#1},
,,#1_amount,80,,10,10,10,10,10,
,,TAX_UNIT,81,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,82,,on,on,on,on,on,
,,who_must_be_elig,83,,one,one,one,one,one,
,,formula,84,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,85,,0.016,0.016,0.016,0.016,0.016,
,,output_add_var,86,,tscerui_s,tscerui_s,tscerui_s,tscerui_s,tscerui_s,
,,TAX_UNIT,87,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,88,,on,on,on,on,on,
,,who_must_be_elig,89,,one,one,one,one,one,
,,formula,90,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,91,,0.0009,0.0009,0.0009,0.0009,0.0009,
,,output_add_var,92,,tscersf_s,tscersf_s,tscersf_s,tscersf_s,tscersf_s,
,,TAX_UNIT,93,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_Elig,94,,on,on,on,on,on,
,,elig_cond,95,,{yem>0} & !{IsCivilServant} & {lfs>=amount#1} & {lfs<=amount#2},{yem>0} & !{IsCivilServant} & {lfs>=amount#1} & {lfs<=amount#2},{yem>0} & !{IsCivilServant} & {lfs>=amount#1} & {lfs<=amount#2},{yem>0} & !{IsCivilServant} & {lfs>=amount#1} & {lfs<=amount#2},{yem>0} & !{IsCivilServant} & {lfs>=amount#1} & {lfs<=amount#2},
,,#1_amount,96,,1,1,1,1,1,
,,#2_amount,97,,19,19,19,19,19,
,,TAX_UNIT,98,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,99,,on,on,on,on,on,
,,who_must_be_elig,100,,one,one,one,one,one,
,,formula,101,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,102,,0.0025,0.0025,0.0025,0.0014,0.0025,
,,output_var,103,,tscerei_s,tscerei_s,tscerei_s,tscerei_s,tscerei_s,
,,TAX_UNIT,104,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,105,,on,on,on,on,on,
,,who_must_be_elig,106,,one,one,one,one,one,
,,formula,107,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,108,,0.0001,0.0001,0.0001,0.0001,0.0001,
,,output_add_var,109,,tscersf_s,tscersf_s,tscersf_s,tscersf_s,tscersf_s,
,,TAX_UNIT,110,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_Elig,111,,on,on,on,on,on,
,,elig_cond,112,,{yem>0} & !{IsCivilServant} & {lfs>=amount#1},{yem>0} & !{IsCivilServant} & {lfs>=amount#1},{yem>0} & !{IsCivilServant} & {lfs>=amount#1},{yem>0} & !{IsCivilServant} & {lfs>=amount#1},{yem>0} & !{IsCivilServant} & {lfs>=amount#1},
,,#1_amount,113,,20,20,20,20,20,
,,TAX_UNIT,114,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,115,,on,on,on,on,on,
,,who_must_be_elig,116,,one,one,one,one,one,
,,formula,117,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,118,,0.0029,0.0029,0.0029,0.0015,0.0029,
,,output_add_var,119,,tscerei_s,tscerei_s,tscerei_s,tscerei_s,tscerei_s,
,,TAX_UNIT,120,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,121,,on,on,on,on,on,
,,who_must_be_elig,122,,one,one,one,one,one,
,,formula,123,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,124,,0.0001,0.0002,0.0002,0.0001,0.0001,
,,output_add_var,125,,tscersf_s,tscersf_s,tscersf_s,tscersf_s,tscersf_s,
,,TAX_UNIT,126,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_Elig,127,,on,on,on,on,on,
,,elig_cond,128,,{yem>0} & {IsBluecoll} & !{IsCivilServant},{yem>0} & {IsBluecoll} & !{IsCivilServant},{yem>0} & {IsBluecoll} & !{IsCivilServant},{yem>0} & {IsBluecoll} & !{IsCivilServant},{yem>0} & {IsBluecoll} & !{IsCivilServant},
,,TAX_UNIT,129,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,130,,on,on,on,on,on,
,,who_must_be_elig,131,,one,one,one,one,one,
,,formula,132,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
