Protocol of Changes												
sys_varlog_name	sys_varlog_action	sys_varlog_date	sys_varlog_comment		sys_aclog_name	sys_aclog_type	sys_aclog_action	sys_aclog_date	sys_aclog_comment			
variable name	action	date	manual comment		acro	type	action	date	manual comment			
tscdb_s	add	12/14/2009			LG	tax	add	9/8/2010				
byr_s	add	12/14/2009			HK	tax	add	9/8/2010				
tinkt_s	add	12/14/2009			TA	demographic	add	10/1/2010				
tinmu_s	add	12/14/2009			HT	tax	add	10/1/2010				
tinna_s	change	12/14/2009			PU	benefit	add	1/19/2011				
tintcrt_s	add	1/18/2010			UT	benefit	add	1/19/2011				
tintcdb_s	add	1/18/2010			-	type / period	add level	3/31/2011				
tintcst_s	add	1/18/2010			my	in kind	add	3/31/2011				
bfapl_s	add	1/18/2010			IA	labour market	add	6/16/2011				
bfapl	add	1/18/2010			AM	benefit	add	8/31/2011				
bchmt	add	1/18/2010			RH	tax	add	8/31/2011				
tscerot_s	add	1/18/2010			RH	expenditure	add	8/31/2011				
tsceeot_s	add	1/18/2010			HI	tax	add	8/31/2011				
tsctber_s	add	1/18/2010			FA	labour market	add	10/4/2011				
tsctbee_s	add	1/18/2010			OR	labour market	add	10/4/2011				
tsctbun_s	add	1/18/2010			pr	demographic	add	10/4/2011				
tscunee_s	add	1/18/2010			ch	demographic	add	10/4/2011				
tscuner_s	add	1/18/2010			sys_aclog_end							
tintach_s	add	1/18/2010										
tintadp_s	add	1/18/2010										
tintaee_s	add	1/18/2010										
tintcmg_s	add	1/18/2010										
tsceemy_s	add	1/18/2010										
tscermy_s	add	1/18/2010										
tscsemy_s	add	1/18/2010										
lunmy_s	add	1/18/2010										
liwmy_s	add	1/18/2010										
yempv_s	add	1/18/2010										
yem_s	add	1/18/2010										
bunctmy	add	1/18/2010										
bunctmy_s	add	1/18/2010										
bunncmy	add	1/18/2010										
bunncmy_s	add	1/18/2010										
dlg_s	add	1/18/2010										
snc_s	add	1/18/2010										
sncnd_s	add	1/18/2010										
snd_s	add	1/18/2010										
sin21_s	add	1/18/2010										
sin22_s	add	1/18/2010										
sin23_s	add	1/18/2010										
sin24_s	add	1/18/2010										
sin25_s	add	1/18/2010										
sin26_s	add	1/18/2010										
sin27_s	add	1/18/2010										
sin28_s	add	1/18/2010										
sin29_s	add	1/18/2010										
sin30_s	add	1/18/2010										
sin31_s	add	1/18/2010										
sin32_s	add	1/18/2010										
sin33_s	add	1/18/2010										
sin34_s	add	1/18/2010										
sin35_s	add	1/18/2010										
sin36_s	add	1/18/2010										
sin37_s	add	1/18/2010										
sin38_s	add	1/18/2010										
sin39_s	add	1/18/2010										
sin40_s	add	1/18/2010										
sin41_s	add	1/18/2010										
sin42_s	add	1/18/2010										
sin43_s	add	1/18/2010										
sin44_s	add	1/18/2010										
sin45_s	add	1/18/2010										
sin46_s	add	1/18/2010										
sin47_s	add	1/18/2010										
sin48_s	add	1/18/2010										
sin49_s	add	1/18/2010										
sin50_s	add	1/18/2010										
