Protocol of Changes												
sys_varlog_name	sys_varlog_action	sys_varlog_date	sys_varlog_comment		sys_aclog_name	sys_aclog_type	sys_aclog_action	sys_aclog_date	sys_aclog_comment			
variable name	action	date	manual comment		acro	type	action	date	manual comment			
psu_s	add	9/6/2011										
bhlmt_s	add	9/6/2011										
bfa_s	add	9/6/2011										
tschl01_s	add	9/6/2011										
tschl02_s	add	9/6/2011										
tschl03_s	add	9/6/2011										
xmp00	add	9/6/2011										
tsceepigr_s	add	9/6/2011										
tintcch00_s	add	9/6/2011										
tintclp00_s	add	9/6/2011										
psu_s	change	9/21/2011										
bhlmt_s	change	9/21/2011										
bfa_s	change	9/21/2011										
tschl01_s	change	9/21/2011										
tschl02_s	change	9/21/2011										
tschl03_s	change	9/21/2011										
xmp00	change	9/21/2011										
tsceepigr_s	change	9/21/2011										
tintcch00_s	change	9/21/2011										
tintclp00_s	change	9/21/2011										
bsaht	add	9/21/2011										
tintart_s	add	9/21/2011										
ymn03_s	add	9/21/2011										
ymn03_s	change	9/21/2011										
bchnm01_s	add	9/21/2011										
bchnm02_s	add	9/21/2011										
bchnm01_s	change	9/21/2011										
lfa	add	10/4/2011										
lseor	add	10/4/2011										
tsccthl_s	change	10/4/2011										
tscsesi_s	change	10/4/2011										
khooo	add	10/4/2011										
khooo_s	add	10/4/2011										
tprhm_s	add	10/4/2011										
tinprtahm_s	add	10/4/2011										
tintamg_s	add	10/4/2011										
tintamimg_s	add	10/4/2011										
amoyl_s	add	10/4/2011										
amolv_s	add	10/4/2011										
xhcmomc_s	add	10/4/2011										
xhcmomi_s	add	10/4/2011										
ddppr_s	add	10/4/2011										
ddpch_s	add	10/4/2011										
yhomr_s	add	10/6/2011										
tintami01_s	add	11/8/2011										
sys_varlog_end												
