idhh	idperson	idfather	idmother	idpartner	idorighh	idorigperson	dag	dgn	dms	dcz	ddi	ddt	dwt	dsu00	dsu01	dsu02	dct	dec	deh	dey	dew	drgn1	dcu	les	lcs	lfs	lin	lindi	liwmy	lhw	liwwh	loc	lpemy	lse	lunmy	lowas	yivwg	yem	kfb	ypp	yse	bed	bun	phl	pdi	poa	psu	kivho	yiy	yprrt	ypr	ypt	bsa	bho	tpr	yot	yds	tad	bch00	bchba	bch	bma	bfapl	khooo	yemmy	kfbmy	ysemy	bunmy	pdimy	phlmy	poamy	psumy	tis	byr	byrmy	amrrm	amrtn	afc	xmp	xpp	xhc	xhcrt	xhcmomi	xhcmomc	amoyl	amolv	xhcot
2934	293402	293401	293403	0	2934	293402	19	1	1	1	0	22008	583.246	0	0	0	2	6	3	12	2006	2	0	6	0	0	0	0	0	0	0	-1	0	0	0	0	11.87199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	925.087	0	0	6	2	0	0	0	0	0	0	0	0	0	0
2934	293403	0	0	293401	2934	293403	54	0	4	1	0	22008	583.246	0	0	0	2	0	5	16	1974	2	0	7	0	0	0	0	0	0	96	-1	0	0	0	0	15.63719	0	0	0	0	0	0	700	400	0	0	270.9492	32.99282	100	100	0	0	0	0	0	0	0	101.25	0	101.25	0	0	97.29166	0	0	0	0	12	12	0	0	925.087	0	0	6	2	11311.83	0	0	332.5417	0	0	0	0	0	332.5417
2935	293501	0	0	293502	2935	293501	37	1	2	2	0	22008	1048.512	0	0	0	2	0	3	12	1988	2	0	3	1	50	3	3	12	40	240	3	0	0	0	0	13.98156	2423.47	50	0	0	0	0	0	0	0	0	460.7807	9.147752	0	0	0	0	0	0	0	3347.099	0	481	0	481	0	0	31.75	12	12	0	0	0	0	0	0	669.1667	0	0	6	1	3136.372	0	0	348.1696	0	147.8333	176.1667	1999	40000	200.3362
2935	293502	0	0	293501	2935	293502	31	0	2	2	0	22008	1048.512	0	0	0	2	0	4	14	1998	2	0	3	0	50	3	11	12	28	132	5	0	0	0	0	9.012362	1093.5	0	0	0	0	0	0	0	0	0	0	9.147752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	669.1667	0	0	6	1	3136.372	0	0	0	0	0	0	0	0	0
2935	293503	293501	0	0	2935	293503	9	0	1	2	-1	22008	1048.512	0	0	0	2	2	0	0	-1	2	0	6	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	669.1667	0	0	6	1	0	0	0	0	0	0	0	0	0	0
2935	293504	293501	293502	0	2935	293504	3	1	1	2	-1	22008	1048.512	0	0	0	2	1	0	0	-1	2	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	669.1667	0	0	6	1	0	0	0	0	0	0	0	0	0	0
2935	293505	0	293502	0	2935	293505	6	1	1	2	-1	22008	1048.512	0	0	0	2	2	0	0	-1	2	0	6	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	669.1667	0	0	6	1	0	0	0	0	0	0	0	0	0	0
2936	293601	0	0	0	2936	293601	80	0	5	1	0	22008	1435.728	0	0	0	2	0	2	9	1934	2	0	4	0	0	0	0	0	0	168	-1	12	0	0	0	7.879889	0	0	0	0	0	0	140.4792	140.4792	1010.949	0	0	5.925124	0	0	0	0	0	0	0	1268.523	0	0	0	0	0	0	0	0	0	0	0	10	12	12	12	29.30921	0	0	5	3	2031.471	0	0	317.41	145.61	0	0	0	0	171.8
2937	293701	0	0	0	2937	293701	57	1	2	1	0	32008	634.0811	0	0	0	2	0	3	12	1971	2	0	5	0	0	0	0	0	0	348	4	0	0	12	0	18.66341	0	0	0	0	12.5	966.16	0	0	0	0	0	2.5	0	0	10.83333	0	0	0	0	996.8734	0	101.5	0	101.5	0	0	0	0	0	0	12	0	0	0	0	96.62	0	0	1	3	857.1429	0	0	358.33	290	0	0	0	0	68.32999
2938	293801	0	0	293802	2938	293801	26	1	1	1	0	22008	1005.587	0	0	0	2	0	3	12	1999	2	1	3	0	35	3	11	12	38	96	4	0	0	0	0	12.25278	2017.625	0	0	0	0	0	0	0	0	0	218.3141	12.72787	0	0	0	0	0	0	0	2747.852	0	0	0	0	0	0	31.25	12	0	0	0	0	0	0	0	1063.978	0	0	5	1	4363.842	0	0	312.0667	0	206.4583	143.0417	2005	134000	105.6084
2938	293802	0	0	293801	2938	293802	26	0	1	1	0	22008	1005.587	0	0	0	2	0	3	12	1999	2	1	3	0	50	3	9	12	38	72	4	0	0	0	0	10.7414	1768.75	62.33333	0	0	0	0	0	0	0	0	218.3141	12.72787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.25	12	12	0	0	0	0	0	0	1063.978	0	0	5	1	4363.842	0	0	312.0667	0	206.4583	143.0417	2005	134000	105.6084
2939	293901	0	0	293905	2939	293901	48	1	1	1	0	22008	1610.867	0	0	0	2	0	2	9	1973	2	0	5	0	0	0	0	0	0	360	1	0	0	12	0	20.02112	0	0	0	0	5	478.256	0	0	0	0	0	13.27343	0	0	0	0	0	0	0	1289.701	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	185.1019	0	0	5	3	4550.892	0	0	402.6	300	0	0	0	0	102.6
2939	293902	293901	293905	0	2939	293902	16	0	1	1	0	22008	1610.867	0	0	0	2	4	2	9	2006	2	0	6	0	0	0	0	0	0	0	-1	0	0	0	0	9.276834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185.1019	0	0	5	3	0	0	0	0	0	0	0	0	0	0
2939	293903	293901	293905	0	2939	293903	13	0	1	1	-1	22008	1610.867	0	0	0	2	3	1	6	2006	2	0	6	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	185.1019	0	0	5	3	0	0	0	0	0	0	0	0	0	0
2939	293904	293901	293905	0	2939	293904	8	1	1	1	-1	22008	1610.867	0	0	0	2	2	0	0	-1	2	0	6	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	185.1019	0	0	5	3	0	0	0	0	0	0	0	0	0	0
2939	293905	0	0	293901	2939	293905	42	0	4	1	0	22008	1610.867	0	0	0	2	0	5	16	1986	2	0	5	0	5	3	4	6	21	240	5	0	0	6	0	16.48352	750	0	0	0	0	215	0	0	0	0	0	13.27343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	185.1019	0	0	5	3	4550.892	0	0	402.6	300	0	0	0	0	102.6
2940	294001	0	0	0	2940	294001	80	0	5	1	0	22008	1284.967	0	0	0	2	0	0	0	-1	2	0	9	0	0	0	0	0	0	0	-1	12	0	0	0	6.624758	0	0	0	0	0	0	0	0	1403	0	347.5216	30.98492	0	0	0	0	0	0	0	1348.58	0	0	0	0	0	0	57.16667	0	0	0	0	0	0	12	12	85.405	0	0	4	2	10623.4	0	0	162.3625	0	0	0	0	0	162.3625
2941	294101	0	0	294102	2941	294101	62	1	2	1	0	22008	459.9871	0	0	0	2	0	3	12	1962	2	0	4	0	0	0	0	0	0	480	-1	12	0	0	0	18.58441	0	0	0	0	0	0	0	0	1559	0	218.3141	392.2793	0	0	0	0	0	0	0	3187.225	0	0	0	0	0	0	24.20833	0	0	0	0	0	0	12	0	1011.083	0	0	5	2	134495.8	0	0	101.5833	0	0	0	0	0	101.5833
2941	294102	0	0	294101	2941	294102	57	0	2	1	0	22008	459.9871	0	0	0	2	0	5	16	1969	2	0	9	1	5	3	4	12	26	348	3	0	0	0	0	16.46228	1854.75	0	0	0	0	0	0	0	0	0	218.3141	392.2793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.20833	12	0	0	0	0	0	0	0	1011.083	0	0	5	2	134495.8	0	0	101.5833	0	0	0	0	0	101.5833
2944	294401	0	0	294402	2944	294401	40	1	2	1	0	22008	392.3362	0	0	0	2	0	5	16	1990	2	0	3	1	50	3	9	12	38	192	1	0	0	0	0	29.97426	4935.761	0	0	0	0	0	0	0	0	0	295.0593	119.181	0	0	0	0	0	0	0	4892.542	0	121.25	0	121.25	0	0	59.375	12	0	0	0	0	0	0	0	2837.466	0	0	5	1	40862.07	0	0	183.3933	0	57.625	170.375	1997	54537	125.7683
2944	294402	0	0	294401	2944	294402	38	0	2	1	0	22008	392.3362	0	0	0	2	0	5	16	1990	2	0	3	1	50	3	11	12	30	216	3	0	0	0	0	18.22027	2368.635	38.33333	0	0	0	66	0	0	0	0	295.0593	119.181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.375	12	12	0	12	0	0	0	0	2837.466	0	0	5	1	40862.07	0	0	183.3933	0	57.625	170.375	1997	54537	125.7683
2944	294403	294401	294402	0	2944	294403	7	0	1	1	-1	22008	392.3362	0	0	0	2	2	0	0	-1	2	0	6	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	2837.466	0	0	5	1	0	0	0	0	0	0	0	0	0	0
2944	294404	294401	294402	0	2944	294404	5	0	1	1	-1	22008	392.3362	0	0	0	2	1	0	0	-1	2	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	2837.466	0	0	5	1	0	0	0	0	0	0	0	0	0	0
2945	294501	0	0	0	2945	294501	68	0	5	1	0	22008	769.4306	0	0	0	2	0	2	9	1956	2	0	4	0	0	0	0	0	0	264	-1	12	0	0	0	11.34163	0	0	0	0	0	0	0	0	1137.61	0	399.0887	24.0884	0	0	0	0	0	0	0	2588.538	0	0	0	0	0	0	78.83334	0	0	0	0	0	0	12	12	798.7355	0	0	4	2	8258.881	0	0	187.25	0	0	0	0	0	187.25
2945	294502	0	294501	0	2945	294502	47	1	1	1	0	22008	769.4306	0	0	0	2	0	2	9	1976	2	0	3	0	50	3	3	12	38	384	9	0	0	0	0	13.51564	2225.575	45.83333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0	798.7355	0	0	4	2	0	0	0	0	0	0	0	0	0	0
