	BELGIUM	sys_par_name	sys_reserved	sys_first_sys	BE_2005	BE_2006	BE_2007	BE_2008	BE_2009	BE_2010	sys_end_sys
		comp3_cond	49		{s00>0} & {yempv > 0} & !{IsWithPartner} & {nPersonsInTu>1}#7 & (({nDepChildrenOfPerson>=1}#7 & {GetParentIncome#8<=amount#9}) | ({nDepChildrenOfPerson=0}#7 & {GetParentIncome#8<=amount#10})) & {GetParentIncome#11=0} & {GetParentIncome#12=0}	{s00>0} & {yempv > 0} & !{IsWithPartner} & {nPersonsInTu>1}#7 & (({nDepChildrenOfPerson>=1}#7 & {GetParentIncome#8<=amount#9}) | ({nDepChildrenOfPerson=0}#7 & {GetParentIncome#8<=amount#10})) & {GetParentIncome#11=0} & {GetParentIncome#12=0}	{s00>0} & {yempv > 0} & !{IsWithPartner} & {nPersonsInTu>1}#7 & (({nDepChildrenOfPerson>=1}#7 & {GetParentIncome#8<=amount#9}) | ({nDepChildrenOfPerson=0}#7 & {GetParentIncome#8<=amount#10})) & {GetParentIncome#11=0} & {GetParentIncome#12=0}	{s00>0} & {yempv > 0} & !{IsWithPartner} & {nPersonsInTu>1}#7 & (({nDepChildrenOfPerson>=1}#7 & {GetParentIncome#8<=amount#9}) | ({nDepChildrenOfPerson=0}#7 & {GetParentIncome#8<=amount#10})) & {GetParentIncome#11=0} & {GetParentIncome#12=0}	{s00>0} & {yempv > 0} & !{IsWithPartner} & {nPersonsInTu>1}#7 & (({nDepChildrenOfPerson>=1}#7 & {GetParentIncome#8<=amount#9}) | ({nDepChildrenOfPerson=0}#7 & {GetParentIncome#8<=amount#10})) & {GetParentIncome#11=0} & {GetParentIncome#12=0}	{s00>0} & {yempv > 0} & !{IsWithPartner} & {nPersonsInTu>1}#7 & (({nDepChildrenOfPerson>=1}#7 & {GetParentIncome#8<=amount#9}) | ({nDepChildrenOfPerson=0}#7 & {GetParentIncome#8<=amount#10})) & {GetParentIncome#11=0} & {GetParentIncome#12=0}	
		#7_level	50		tu_cb_be	tu_cb_be	tu_cb_be	tu_cb_be	tu_cb_be	tu_cb_be	
		#8_income_il	51		il_pension	il_pension	il_pension	il_pension	il_pension	il_pension	
		#9_amount	52		1690.23#m	1759.12#m	1794.27#m	1830.20#m	1904.08#m	1981.03#m	
		#10_amount	53		1024.09#m	1024.09#m	1060.20#m	1128.35#m	1173.90#m	1221.34#m	
		#11_income_il	54		il_repY01	il_repY01	il_repY01	il_repY01	il_repY01	il_repY01	
		#12_income_il	55		ils_earns	ils_earns	ils_earns	ils_earns	ils_earns	ils_earns	
		comp3_perElig	56		2	2	2	2	2	2	
		output_var	57		sin05_s	sin05_s	sin05_s	sin05_s	sin05_s	sin05_s	
		TAX_UNIT	58		tu_cb_be	tu_cb_be	tu_cb_be	tu_cb_be	tu_cb_be	tu_cb_be	
		func_BenCalc	59		on	on	on	on	on	on	
		comp1_cond	60		{il_taxableYui>0}	{il_taxableYui>0}	{il_taxableYui>0}	{il_taxableYui>0}	{il_taxableYui>0}	{il_taxableYui>0}	
		comp1_perElig	61		bun/il_taxableYui	bun/il_taxableYui	bun/il_taxableYui	bun/il_taxableYui	bun/il_taxableYui	bun/il_taxableYui	
		output_var	62		sin06_s	sin06_s	sin06_s	sin06_s	sin06_s	sin06_s	
		TAX_UNIT	63		tu_individual_be	tu_individual_be	tu_individual_be	tu_individual_be	tu_individual_be	tu_individual_be	
		func_Elig	64		on	on	on	on	on	on	
		elig_cond	65		{s00>0} & {yempv > 0} & {liwwh<=0} & {dag<30}	{s00>0} & {yempv > 0} & {liwwh<=0} & {dag<30}	{s00>0} & {yempv > 0} & {liwwh<=0} & {dag<30}	{s00>0} & {yempv > 0} & {liwwh<=0} & {dag<30}	{s00>0} & {yempv > 0} & {liwwh<=0} & {dag<30}	{s00>0} & {yempv > 0} & {liwwh<=0} & {dag<30}	
		TAX_UNIT	66		tu_individual_be	tu_individual_be	tu_individual_be	tu_individual_be	tu_individual_be	tu_individual_be	
