,BELGIUM,sys_par_name,sys_reserved,sys_first_sys,BE_2005,BE_2006,BE_2007,BE_2008,BE_2009,sys_end_sys,
,,sys_first_par,,,TAX: income Tax,,,,,
,,const24_name,,,$IT_AlwDepPlus65Supp,$IT_AlwDepPlus65Supp,$IT_AlwDepPlus65Supp,$IT_AlwDepPlus65Supp,$IT_AlwDepPlus65Supp,
,,const24_amount,,,2450#y,2520#y,2570#y,2610#y,@_IT_AlwDepPlus65Supp_@#y,# -- should default to 2730#y current backend mapping = 2730.0
,,const25_name,,,$IT_TCPens,$IT_TCPens,$IT_TCPens,$IT_TCPens,$IT_TCPens,
,,const25_amount,,,1672.24#y,1718.90#y,1748.69#y,1781.29#y,1861.42#y,
,,const26_name,,,$IT_TCDisab,$IT_TCDisab,$IT_TCDisab,$IT_TCDisab,$IT_TCDisab,
,,const26_amount,,,2146.60#y,2206.49#y,2242.02#y,2286.58#y,@_IT_TCDisab_@#y,# -- should default to 2389.45#y current backend mapping = 2389.45
,,const27_name,,,$IT_TCReplIncLim1,$IT_TCReplIncLim1,$IT_TCReplIncLim1,$IT_TCReplIncLim1,$IT_TCReplIncLim1,
,,const27_amount,,,18530#y,19050#y,19390#y,19740#y,@_IT_TCReplIncLim1_@#y,# -- should default to 20630#y current backend mapping = 20630.0
,,const28_name,,,$IT_TCReplIncLim2,$IT_TCReplIncLim2,$IT_TCReplIncLim2,$IT_TCReplIncLim2,$IT_TCReplIncLim2,
,,const28_amount,,,37060#y,38100#y,38780#y,39480#y,@_IT_TCReplIncLim2_@#y,# -- should default to 41260#y current backend mapping = 41260.0
,,const29_name,,,$IT_TCUBCouple,$IT_TCUBCouple,$IT_TCUBCouple,$IT_TCUBCouple,$IT_TCUBCouple,
,,const29_amount,,,1952.58#y,2007.04#y,2042.59#y,2079.88#y,0,
,,const30_name,,,$IT_TCUBInd,$IT_TCUBInd,$IT_TCUBInd,$IT_TCUBInd,$IT_TCUBInd,
,,const30_amount,,,1672.24#y,1718.90#y,1748.69#y,1781.29#y,@_IT_TCUBInd_@#y,# -- should default to 1861.42#y current backend mapping = 1861.42
,,const31_name,,,$IT_TCUBIncLim1,$IT_TCUBIncLim1,$IT_TCUBIncLim1,$IT_TCUBIncLim1,$IT_TCUBIncLim1,
,,const31_amount,,,18530#y,19050#y,19390#y,19740#y,@_IT_TCUBIncLim1_@#y,# -- should default to 20630#y current backend mapping = 20630.0
,,const32_name,,,$IT_TCUBIncLim2,$IT_TCUBIncLim2,$IT_TCUBIncLim2,$IT_TCUBIncLim2,$IT_TCUBIncLim2,
,,const32_amount,,,23130#y,23780#y,24200#y,24640#y,@_IT_TCUBIncLim2_@#y,# -- should default to 25750#y current backend mapping = 25750.0
,,const33_name,,,$IT_TCChild,$IT_TCChild,$IT_TCChild,$IT_TCChild,$IT_TCChild,
,,const33_amount,,,350#y,360#y,370#y,380#y,@_IT_TCChild_@#y,# -- should default to 390#y current backend mapping = 390.0
,,const34_name,,,$IT_ZTOldUn,$IT_ZTOldUn,$IT_ZTOldUn,$IT_ZTOldUn,$IT_ZTOldUn,
,,const34_amount,,,13686.52#y,13819.18#y,14250.89#y,14876.16#y,@_IT_ZTOldUn_@#y,# -- should default to 15391.28#y current backend mapping = 15391.28
,,const35_name,,,$IT_ZTDisab,$IT_ZTDisab,$IT_ZTDisab,$IT_ZTDisab,$IT_ZTDisab,
,,const35_amount,,,13835.70#y,14020.07#y,14418.87#y,15052.01#y,@_IT_ZTDisab_@#y,# -- should default to 15423.94#y current backend mapping = 15423.94
,,const36_name,,,$IT_ZTOthReplInc,$IT_ZTOthReplInc,$IT_ZTOthReplInc,$IT_ZTOthReplInc,$IT_ZTOthReplInc,
,,const36_amount,,,12452.13#y,12618.06#y,12796.98#y,13546.81#y,@_IT_ZTOthReplInc_@#y,# -- should default to 13881.55#y current backend mapping = 13881.55
,,const37_name,,,$IT_RTCBaseAmt1,$IT_RTCBaseAmt1,$IT_RTCBaseAmt1,$IT_RTCBaseAmt1,$IT_RTCBaseAmt1,
,,const37_amount,,,0,0,125#y,200#y,@_IT_RTCBaseAmt1_@#y,# -- should default to 300#y current backend mapping = 300.0
,,const38_name,,,$IT_RTCBaseAmt2,$IT_RTCBaseAmt2,$IT_RTCBaseAmt2,$IT_RTCBaseAmt2,$IT_RTCBaseAmt2,
,,const38_amount,,,0,0,0,0,250#y,
,,const39_name,,,$IT_RTCIncLowLim1,$IT_RTCIncLowLim1,$IT_RTCIncLowLim1,$IT_RTCIncLowLim1,$IT_RTCIncLowLim1,
,,const39_amount,,,0,0,5500#y,5500#y,@_IT_RTCIncLowLim1_@#y,# -- should default to 5500#y current backend mapping = 5500.0
,,const40_name,,,$IT_RTCIncLowLim2,$IT_RTCIncLowLim2,$IT_RTCIncLowLim2,$IT_RTCIncLowLim2,$IT_RTCIncLowLim2,
,,const40_amount,,,0,0,0,0,@_IT_RTCIncLowLim2_@#y,# -- should default to 5500#y current backend mapping = 5500.0
,,const41_name,,,$IT_RTCIncUpLim1,$IT_RTCIncUpLim1,$IT_RTCIncUpLim1,$IT_RTCIncUpLim1,$IT_RTCIncUpLim1,
,,const41_amount,,,0,0,21000#y,21000#y,@_IT_RTCIncUpLim1_@#y,# -- should default to 22000#y current backend mapping = 22000.0
,,const42_name,,,$IT_RTCIncUpLim2,$IT_RTCIncUpLim2,$IT_RTCIncUpLim2,$IT_RTCIncUpLim2,$IT_RTCIncUpLim2,
,,const42_amount,,,0,0,22250#y,23000#y,@_IT_RTCIncUpLim2_@,# -- should default to 0 current backend mapping = 999999999.99
